Date: 26/11/2022, Time: 19:58:10, Method: GET, Path: /api/users/ /nDate: 26/11/2022, Time: 19:59:03, Method: GET, Path: /api/users/ 
Date: 26/11/2022, Time: 20:00:02, Method: GET, Path: /api/users/ 
Date: 26/11/2022, Time: 20:00:52, Method: GET, Path: /api/users/ 
Date: 26/11/2022, Time: 20:01:12, Method: GET, Path: /api/users/ 
Date: 26/11/2022, Time: 20:01:21, Method: GET, Path: /api/users/ 
Date: 26/11/2022, Time: 20:01:36, Method: GET, Path: /api/users/ 
Date: 26/11/2022, Time: 20:01:53, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:02:40, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:09:48, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:10:26, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:11:07, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:11:23, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:12:09, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:12:19, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:14:02, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:15:20, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:15:54, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:16:02, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:16:16, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:16:47, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:17:07, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:23:51, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:24:24, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:25:39, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:27:35, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:28:59, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:29:40, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:30:13, Method: POST, Path: /api/users/ 
Date: 26/11/2022, Time: 20:30:30, Method: POST, Path: /api/users/ 
